,full_name,gender,category,birth_year,winner_age,birth_country,award_year
847,Sir Alexander Fleming,male,Physiology or Medicine,1881.0,64.0,Scotland,1945
848,Sir Arthur Lewis,male,Economic Sciences,1915.0,64.0,Saint Lucia,1979
849,Sir Austen Chamberlain,male,Peace,1863.0,62.0,United Kingdom,1925
850,Sir Bernard Katz,male,Physiology or Medicine,1911.0,59.0,Germany,1970
851,Sir Chandrasekhara Venkata Raman,male,Physics,1888.0,42.0,India,1930
852,Sir Charles Scott Sherrington,male,Physiology or Medicine,1857.0,75.0,United Kingdom,1932
853,Sir Cyril Norman Hinshelwood,male,Chemistry,1897.0,59.0,United Kingdom,1956
854,Sir Frank Macfarlane Burnet,male,Physiology or Medicine,1899.0,61.0,Australia,1960
855,Sir Frederick Gowland Hopkins,male,Physiology or Medicine,1861.0,68.0,United Kingdom,1929
856,Sir Gregory P. Winter,male,Chemistry,1951.0,67.0,United Kingdom,2018
857,Sir Harold W. Kroto,male,Chemistry,1939.0,57.0,United Kingdom,1996
858,Sir Henry Hallett Dale,male,Physiology or Medicine,1875.0,61.0,United Kingdom,1936
859,Sir Howard Walter Florey,male,Physiology or Medicine,1898.0,47.0,Australia,1945
860,Sir J. Fraser Stoddart,male,Chemistry,1942.0,74.0,United Kingdom,2016
861,Sir James W. Black,male,Physiology or Medicine,1924.0,64.0,Scotland,1988
862,Sir John B. Gurdon,male,Physiology or Medicine,1933.0,79.0,United Kingdom,2012
863,Sir John Carew Eccles,male,Physiology or Medicine,1903.0,60.0,Australia,1963
864,Sir Martin J. Evans,male,Physiology or Medicine,1941.0,66.0,United Kingdom,2007
865,Sir Nevill Francis Mott,male,Physics,1905.0,72.0,United Kingdom,1977
866,Sir Norman Angell (Ralph Lane),male,Peace,1872.0,61.0,United Kingdom,1933
867,Sir Paul M. Nurse,male,Physiology or Medicine,1949.0,52.0,United Kingdom,2001
868,Sir Peter J. Ratcliffe,male,Physiology or Medicine,1954.0,65.0,United Kingdom,2019
869,Sir Peter Mansfield,male,Physiology or Medicine,1933.0,70.0,United Kingdom,2003
870,Sir Robert Robinson,male,Chemistry,1886.0,61.0,United Kingdom,1947
871,Sir William Ramsay,male,Chemistry,1852.0,52.0,Scotland,1904
872,Stanford Moore,male,Chemistry,1913.0,59.0,USA,1972
873,Stanley B. Prusiner,male,Physiology or Medicine,1942.0,55.0,USA,1997
874,Stanley Cohen,male,Physiology or Medicine,1922.0,64.0,USA,1986
875,Stefan W. Hell,male,Chemistry,1962.0,52.0,Romania,2014
876,Steven Chu,male,Physics,1948.0,49.0,USA,1997
877,Steven Weinberg,male,Physics,1933.0,46.0,USA,1979
878,Subramanyan Chandrasekhar,male,Physics,1910.0,73.0,Pakistan,1983
879,Sully Prudhomme,male,Literature,1839.0,62.0,France,1901
